tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***86630,20100103,8,STAND VEH-HWY-PROH TIME/DAYS,60,1040,NR,1715 DUNDAS ST W,,,ON
***87232,20100103,134,PARK IN PUBLIC LANE,30,1040,R/O,533 ST CLAIR AVE W,,,ON
***21175,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1041,NR,2023 DUFFERIN ST,,,ON
***21571,20100103,8,STD VEH HWY PROHIB TIME/DAY,60,1041,NR,244 VICTORIA ST,,,ON
***86631,20100103,8,STAND VEH-HWY-PROH TIME/DAYS,60,1041,NR,1717 DUNDAS ST W,,,ON
***86632,20100103,8,STAND VEH-HWY-PROH TIME/DAYS,60,1042,NR,1717 DUNDAS ST W,,,ON
***82259,20100103,48,FAIL TO PARK/STOP PAR TO CURB,15,1043,NR,90 LEYTON AVE,,,ON
***11772,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1043,AT,30 CANTERBURY PL,,,ON
***36748,20100103,2,PARK LONGER THAN 3 HOURS,15,1044,NR,52 ADANAC DR,,,ON
***56640,20100103,5,PARK HWY PROHIBED TIME/DAY,40,1044,NR,100 QUEEN ST W,,,ON
***86633,20100103,8,STAND VEH-HWY-PROH TIME/DAYS,60,1044,NR,1636 DUNDAS ST W,,,ON
***81805,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1045,AT,249 QUEENS QUAY W,,,ON
***18994,20100103,347,PARK IN A FIRE ROUTE,250,1046,AT,1300 LESLIE ST,,,ON
***91196,20100103,8,STAND VEH-HWY-PROH TIME/DAYS,60,1047,NR,1130 DUNDAS ST W,,,ON
***18995,20100103,347,PARK IN A FIRE ROUTE,250,1047,AT,1300 LESLIE ST,,,ON
***21572,20100103,5,PARK HWY PROHIBED TIME/DAY,40,1047,NR,20 EDWARD ST,,,ON
***56641,20100103,5,PARK HWY PROHIBED TIME/DAY,40,1047,NR,257 QUEEN ST W,,,ON
***18996,20100103,347,PARK IN A FIRE ROUTE,250,1048,AT,1300 LESLIE ST,,,ON
***02419,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1049,,388 RICHMOND ST,,,ON
***73822,20100103,347,PARK IN A FIRE ROUTE,250,1049,AT,20 ESTERBROOKE AVE,,,ON
***87233,20100103,5,PARK-HWY DRNG PROH TIMES/DAYS,40,1049,NR,1594 EGLINTON AVE W,,,ON
***21573,20100103,8,STD VEH HWY PROHIB TIME/DAY,60,1050,OPP,115 EDWARD ST,,,AB
***56642,20100103,5,PARK HWY PROHIBED TIME/DAY,40,1050,NR,225 QUEEN ST W,,,ON
***91787,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,1052,S/S,GALLEY AVE,W/O,SORAUREN AVE,ON
***02420,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1053,,388 RICHMOND,,,ON
***07440,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1053,,2007 LAWRENCE AV W,,,ON
***91788,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,1053,S/S,GALLEY AVE,W/O,SORAUREN AVE,ON
***21574,20100103,8,STD VEH HWY PROHIB TIME/DAY,60,1054,E/S,JAMES ST,N/O,QUEEN ST W,ON
***21176,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,1056,NR,611 ST CLAIR AVE W,,,ON
***35790,20100103,49,FAIL PARK/STOP PAR RT HAND LTD,15,1056,NR,17 IVY BUSH AVE,,,ON
***85352,20100103,207,PARK FAIL TO DEP. FEE MACHINE,30,1056,NR,825 COXWELL AVE,,,ON
